ClickID,Timestamp,SubjectID
1,4951,998
2,8768,998
3,14774,998
4,28069,998
5,34795,998
6,45458,998
7,49536,998
8,55178,998
9,60245,998
10,65312,998
11,69766,998
12,74053,998
13,86703,998
14,94338,998
15,101303,998
16,106520,998
17,110846,998
18,115455,998
1,8785,997
2,14789,997
3,28004,997
4,45245,997
5,49899,997
6,60264,997
7,69395,997
8,82559,997
9,88417,997
10,94266,997
11,101644,997
12,105365,997
13,107735,997
14,111570,997
1,5624,996
2,14517,996
3,27541,996
4,38152,996
5,49635,996
6,60301,996
7,65278,996
8,69087,996
9,82425,996
10,87121,996
11,101408,996
12,105954,996
13,110917,996
14,115285,996
1,4961,995
2,15175,995
3,27801,995
4,50273,995
5,71114,995
6,88315,995
7,102261,995
